provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-StorPort	1	1	LogicalUnitresetOpCodeLUReset_V1(UInt32 PortNumber, UInt8 PathID, UInt8 TargetID, UInt8 LUN)	OpCodeLUReset	Reset	LogicalUnitreset	Error		
Microsoft-Windows-StorPort	2	1	TargetresetOpCodeTargetReset_V1(UInt32 PortNumber, UInt8 PathID, UInt8 TargetID)	OpCodeTargetReset	Reset	Targetreset	Error		
Microsoft-Windows-StorPort	4	1	ResetdetectednotificationOpCodeResetDetected_V1(Pointer MiniportExtension, UInt32 PortNumber, UInt32 PauseTime)	OpCodeResetDetected	PortNotification	Resetdetectednotification	Informational		
Microsoft-Windows-StorPort	5	1	LinkdownnotificationOpCodeLinkDown_V1(Pointer MiniportExtension, UInt32 PortNumber, UInt32 LinkDownTime)	OpCodeLinkDown	PortNotification	Linkdownnotification	Informational		
Microsoft-Windows-StorPort	6	1	LinkUpnotificationOpCodeLinkUp_V1(Pointer MiniportExtension, UInt32 PortNumber)	OpCodeLinkUp	PortNotification	LinkUpnotification	Informational		
Microsoft-Windows-StorPort	7	1	RequestTimernotificationOpCodeRequestTimerCall_V1(Pointer MiniportExtension, UInt32 PortNumber, UInt32 Timeout)	OpCodeRequestTimerCall	PortNotification	RequestTimernotification	Informational		
Microsoft-Windows-StorPort	8	1	PortpauseOpCodePortPause_V1(Pointer MiniportExtension, UInt32 PortNumber, UInt32 PauseTime)	OpCodePortPause	PauseResume	Portpause	Informational		
Microsoft-Windows-StorPort	9	1	PortresumeOpCodePortResume_V1(Pointer MiniportExtension, UInt32 PortNumber)	OpCodePortResume	PauseResume	Portresume	Informational		
Microsoft-Windows-StorPort	10	1	PortpausedeviceOpCodePortPauseDevice_V1(Pointer MiniportExtension, UInt32 PauseTime, UInt32 PortNumber, UInt8 PathID, UInt8 TargetID, UInt8 LUN)	OpCodePortPauseDevice	PauseResume	Portpausedevice	Informational		
Microsoft-Windows-StorPort	11	1	PortresumedeviceOpCodePortResumeDevice_V1(Pointer MiniportExtension, UInt32 PortNumber, UInt8 PathID, UInt8 TargetID, UInt8 LUN)	OpCodePortResumeDevice	PauseResume	Portresumedevice	Informational		
Microsoft-Windows-StorPort	12	1	BuschangedetectnotificationOpCodeBusChangeDetected_V1(Pointer MiniportExtension, UInt32 PortNumber)	OpCodeBusChangeDetected	PortNotification	Buschangedetectnotification	Informational		
Microsoft-Windows-StorPort	13	1	MiniportIORequestServiceTimeOpCodeMiniportIORequestServiceTime_V1(Pointer MiniportExtension, UInt32 PortNumber, UInt8 PathID, UInt8 TargetID, UInt8 LUN, UInt32 RequestDuration, UInt8 Command, UInt8 ScsiStatus, UInt8 SrbStatus)	OpCodeMiniportIORequestServiceTime	IoPerfNotification	MiniportIORequestServiceTime	Informational		
Microsoft-Windows-StorPort	14	1	None_V1(UnicodeString Field, UnicodeString PivotField, HexInt32 PivotValue, UInt32 OriginalValue, UInt32 NewValue)		Config	None	Informational		
Microsoft-Windows-StorPort	15	1	None15_V1(UnicodeString AdapterName, UInt32 PortNumber, UInt8 PathID, UInt8 TargetID, UInt8 LUN, UInt32 CurrentDepth, UInt32 NewDepth, UInt32 MaxDepth, Boolean StorportApi)		Config	None	Informational		
Microsoft-Windows-StorPort	16	1	None16_V1(UnicodeString AdapterName, UInt32 PortNumber, UInt32 InitialCount, UInt32 MaxCount, UInt32 ResourceSize, HexInt64 MemorySize)		Config	None	Informational		
Microsoft-Windows-StorPort	17	1	None17_V1(UnicodeString AdapterName, UInt32 PortNumber, UInt32 CurrentOutstanding, UInt32 OldHighWaterMark, UInt32 NewHighWaterMark, UInt32 MaxCount)		Config	None	Informational		
Microsoft-Windows-StorPort	18	1	None18_V1(UnicodeString AdapterName, UInt32 PortNumber, UInt32 CurrentOutstanding, UInt32 HighWaterMark, UInt32 MaxCount, UInt32 MemAllocFailures, UInt32 ConsecutiveFailures, UInt32 SuspendCount)		Config	None	Warning		
Microsoft-Windows-StorPort	19	1	None19_V1(UInt32 Version, UInt32 Size, HexInt32 Flags, UInt32 ConcurrentChannels, UInt32 FirstRedirectionMessageNumber, UInt32 LastRedirectionMessageNumber, UInt32 DeviceNode)		Config	None	Informational		
