provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Backup	5	2	task_05_V2(GUID BackupTemplateID, UInt32 HRESULT, Int32 BackupState, UnicodeString BackupTarget, UInt32 NumOfVolumes, FILETIME BackupTime, UInt32 HRESULT2, UnicodeString VolumesInfo, UInt32 DetailedHRESULT, FILETIME SourceSnapStartTime, FILETIME SourceSnapEndTime, UnicodeString PrepareBackupStartTime, UnicodeString PrepareBackupEndTime, UnicodeString BackupWriteStartTime, UnicodeString BackupWriteEndTime, FILETIME TargetSnapStartTime, FILETIME TargetSnapEndTime, UnicodeString DVDFormatStartTime, UnicodeString DVDFormatEndTime, UnicodeString MediaVerifyStartTime, UnicodeString MediaVerifyEndTime, Int32 BackupPreviousState, UnicodeString ComponentStatus, FILETIME SSBEnumerateStartTime, FILETIME SSBEnumerateEndTime, FILETIME SSBVhdCreationStartTime, FILETIME SSBVhdCreationEndTime, FILETIME SSBBackupStartTime, FILETIME SSBBackupEndTime, UnicodeString SystemStateBackup, Boolean BMR, Boolean VssFullBackup, Boolean UserInputBMR, Boolean UserInputSSB, UnicodeString BackupSuccessLogPath, UnicodeString BackupFailureLogPath, UnicodeString EnumerateBackupStartTime, UnicodeString EnumerateBackupEndTime, UnicodeString PruneBackupStartTime, UnicodeString PruneBackupEndTime)			task_0	Error		
Microsoft-Windows-Backup	5	3	task_05_V3(GUID BackupTemplateID, HexInt32 HRESULT, HexInt32 DetailedHRESULT, UnicodeString ErrorMessage, Int32 BackupState, FILETIME BackupTime, UnicodeString BackupTarget, UInt32 NumOfVolumes, UnicodeString VolumesInfo, FILETIME SourceSnapStartTime, FILETIME SourceSnapEndTime, UnicodeString PrepareBackupStartTime, UnicodeString PrepareBackupEndTime, UnicodeString BackupWriteStartTime, UnicodeString BackupWriteEndTime, FILETIME TargetSnapStartTime, FILETIME TargetSnapEndTime, UnicodeString DVDFormatStartTime, UnicodeString DVDFormatEndTime, UnicodeString MediaVerifyStartTime, UnicodeString MediaVerifyEndTime, Int32 BackupPreviousState, UnicodeString ComponentStatus, UnicodeString ComponentInfo, FILETIME SSBEnumerateStartTime, FILETIME SSBEnumerateEndTime, FILETIME SSBVhdCreationStartTime, FILETIME SSBVhdCreationEndTime, FILETIME SSBBackupStartTime, FILETIME SSBBackupEndTime, UnicodeString SystemStateBackup, UnicodeString BMR, Boolean VssFullBackup, Boolean UserInputBMR, Boolean UserInputSSB, UnicodeString BackupSuccessLogPath, UnicodeString BackupFailureLogPath, UnicodeString EnumerateBackupStartTime, UnicodeString EnumerateBackupEndTime, UnicodeString PruneBackupStartTime, UnicodeString PruneBackupEndTime, HexInt32 BackupFlags, UnicodeString ComponentInfoSummary)			task_0	Error		
Microsoft-Windows-Backup	6	0	task_06()			task_0	Error		
Microsoft-Windows-Backup	7	0	task_07(GUID BackupTemplateID, Int32 BackupState, UnicodeString BackupTarget, UInt32 NumOfVolumes, UnicodeString VolumesInfo, FILETIME BackupTime, UInt32 HRESULT, UInt32 DetailedHRESULT, FILETIME SourceSnapStartTime, FILETIME SourceSnapEndTime, UnicodeString PrepareBackupStartTime, UnicodeString PrepareBackupEndTime, UnicodeString BackupWriteStartTime, UnicodeString BackupWriteEndTime, FILETIME TargetSnapStartTime, FILETIME TargetSnapEndTime, UnicodeString DVDFormatStartTime, UnicodeString DVDFormatEndTime, UnicodeString MediaVerifyStartTime, UnicodeString MediaVerifyEndTime, Int32 BackupPreviousState)			task_0	Warning		
Microsoft-Windows-Backup	7	1	task_07_V1(GUID BackupTemplateID, UInt32 HRESULT, Int32 BackupState, UnicodeString BackupTarget, UInt32 NumOfVolumes, FILETIME BackupTime, UInt32 HRESULT2, UnicodeString VolumesInfo, UInt32 DetailedHRESULT, FILETIME SourceSnapStartTime, FILETIME SourceSnapEndTime, UnicodeString PrepareBackupStartTime, UnicodeString PrepareBackupEndTime, UnicodeString BackupWriteStartTime, UnicodeString BackupWriteEndTime, FILETIME TargetSnapStartTime, FILETIME TargetSnapEndTime, UnicodeString DVDFormatStartTime, UnicodeString DVDFormatEndTime, UnicodeString MediaVerifyStartTime, UnicodeString MediaVerifyEndTime, Int32 BackupPreviousState, UnicodeString ComponentStatus, FILETIME SSBEnumerateStartTime, FILETIME SSBEnumerateEndTime, FILETIME SSBVhdCreationStartTime, FILETIME SSBVhdCreationEndTime, FILETIME SSBBackupStartTime, FILETIME SSBBackupEndTime, Boolean SystemStateBackup)			task_0	Warning		
Microsoft-Windows-Backup	7	2	task_07_V2(GUID BackupTemplateID, UInt32 HRESULT, Int32 BackupState, UnicodeString BackupTarget, UInt32 NumOfVolumes, FILETIME BackupTime, UInt32 HRESULT2, UnicodeString VolumesInfo, UInt32 DetailedHRESULT, FILETIME SourceSnapStartTime, FILETIME SourceSnapEndTime, UnicodeString PrepareBackupStartTime, UnicodeString PrepareBackupEndTime, UnicodeString BackupWriteStartTime, UnicodeString BackupWriteEndTime, FILETIME TargetSnapStartTime, FILETIME TargetSnapEndTime, UnicodeString DVDFormatStartTime, UnicodeString DVDFormatEndTime, UnicodeString MediaVerifyStartTime, UnicodeString MediaVerifyEndTime, Int32 BackupPreviousState, UnicodeString ComponentStatus, FILETIME SSBEnumerateStartTime, FILETIME SSBEnumerateEndTime, FILETIME SSBVhdCreationStartTime, FILETIME SSBVhdCreationEndTime, FILETIME SSBBackupStartTime, FILETIME SSBBackupEndTime, UnicodeString SystemStateBackup, Boolean BMR, Boolean VssFullBackup, Boolean UserInputBMR, Boolean UserInputSSB, UnicodeString BackupSuccessLogPath, UnicodeString BackupFailureLogPath, UnicodeString EnumerateBackupStartTime, UnicodeString EnumerateBackupEndTime, UnicodeString PruneBackupStartTime, UnicodeString PruneBackupEndTime)			task_0	Warning		
Microsoft-Windows-Backup	7	3	task_07_V3(GUID BackupTemplateID, HexInt32 HRESULT, HexInt32 DetailedHRESULT, UnicodeString ErrorMessage, Int32 BackupState, FILETIME BackupTime, UnicodeString BackupTarget, UInt32 NumOfVolumes, UnicodeString VolumesInfo, FILETIME SourceSnapStartTime, FILETIME SourceSnapEndTime, UnicodeString PrepareBackupStartTime, UnicodeString PrepareBackupEndTime, UnicodeString BackupWriteStartTime, UnicodeString BackupWriteEndTime, FILETIME TargetSnapStartTime, FILETIME TargetSnapEndTime, UnicodeString DVDFormatStartTime, UnicodeString DVDFormatEndTime, UnicodeString MediaVerifyStartTime, UnicodeString MediaVerifyEndTime, Int32 BackupPreviousState, UnicodeString ComponentStatus, UnicodeString ComponentInfo, FILETIME SSBEnumerateStartTime, FILETIME SSBEnumerateEndTime, FILETIME SSBVhdCreationStartTime, FILETIME SSBVhdCreationEndTime, FILETIME SSBBackupStartTime, FILETIME SSBBackupEndTime, UnicodeString SystemStateBackup, UnicodeString BMR, Boolean VssFullBackup, Boolean UserInputBMR, Boolean UserInputSSB, UnicodeString BackupSuccessLogPath, UnicodeString BackupFailureLogPath, UnicodeString EnumerateBackupStartTime, UnicodeString EnumerateBackupEndTime, UnicodeString PruneBackupStartTime, UnicodeString PruneBackupEndTime, HexInt32 BackupFlags, UnicodeString ComponentInfoSummary)			task_0	Warning		
Microsoft-Windows-Backup	8	0	task_08(GUID BackupTemplateID, Int32 BackupState, UnicodeString BackupTarget, UInt32 NumOfVolumes, UnicodeString VolumesInfo, FILETIME BackupTime, UInt32 HRESULT, UInt32 DetailedHRESULT, FILETIME SourceSnapStartTime, FILETIME SourceSnapEndTime, UnicodeString PrepareBackupStartTime, UnicodeString PrepareBackupEndTime, UnicodeString BackupWriteStartTime, UnicodeString BackupWriteEndTime, FILETIME TargetSnapStartTime, FILETIME TargetSnapEndTime, UnicodeString DVDFormatStartTime, UnicodeString DVDFormatEndTime, UnicodeString MediaVerifyStartTime, UnicodeString MediaVerifyEndTime, Int32 BackupPreviousState)			task_0	Error		
Microsoft-Windows-Backup	8	1	task_08_V1(GUID BackupTemplateID, UInt32 HRESULT, Int32 BackupState, UnicodeString BackupTarget, UInt32 NumOfVolumes, FILETIME BackupTime, UInt32 HRESULT2, UnicodeString VolumesInfo, UInt32 DetailedHRESULT, FILETIME SourceSnapStartTime, FILETIME SourceSnapEndTime, UnicodeString PrepareBackupStartTime, UnicodeString PrepareBackupEndTime, UnicodeString BackupWriteStartTime, UnicodeString BackupWriteEndTime, FILETIME TargetSnapStartTime, FILETIME TargetSnapEndTime, UnicodeString DVDFormatStartTime, UnicodeString DVDFormatEndTime, UnicodeString MediaVerifyStartTime, UnicodeString MediaVerifyEndTime, Int32 BackupPreviousState, UnicodeString ComponentStatus, FILETIME SSBEnumerateStartTime, FILETIME SSBEnumerateEndTime, FILETIME SSBVhdCreationStartTime, FILETIME SSBVhdCreationEndTime, FILETIME SSBBackupStartTime, FILETIME SSBBackupEndTime, Boolean SystemStateBackup)			task_0	Error		
Microsoft-Windows-Backup	8	2	task_08_V2(GUID BackupTemplateID, UInt32 HRESULT, Int32 BackupState, UnicodeString BackupTarget, UInt32 NumOfVolumes, FILETIME BackupTime, UInt32 HRESULT2, UnicodeString VolumesInfo, UInt32 DetailedHRESULT, FILETIME SourceSnapStartTime, FILETIME SourceSnapEndTime, UnicodeString PrepareBackupStartTime, UnicodeString PrepareBackupEndTime, UnicodeString BackupWriteStartTime, UnicodeString BackupWriteEndTime, FILETIME TargetSnapStartTime, FILETIME TargetSnapEndTime, UnicodeString DVDFormatStartTime, UnicodeString DVDFormatEndTime, UnicodeString MediaVerifyStartTime, UnicodeString MediaVerifyEndTime, Int32 BackupPreviousState, UnicodeString ComponentStatus, FILETIME SSBEnumerateStartTime, FILETIME SSBEnumerateEndTime, FILETIME SSBVhdCreationStartTime, FILETIME SSBVhdCreationEndTime, FILETIME SSBBackupStartTime, FILETIME SSBBackupEndTime, UnicodeString SystemStateBackup, Boolean BMR, Boolean VssFullBackup, Boolean UserInputBMR, Boolean UserInputSSB, UnicodeString BackupSuccessLogPath, UnicodeString BackupFailureLogPath, UnicodeString EnumerateBackupStartTime, UnicodeString EnumerateBackupEndTime, UnicodeString PruneBackupStartTime, UnicodeString PruneBackupEndTime)			task_0	Error		
